,Unnamed: 0,track,artist,album,artist pop,track pop,track genre,duration,release date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0,Desperado,Rihanna,ANTI (Deluxe),87,71,barbadian pop,186466,2016-01-28,0.68,0.609,-5.222,0.044,0.323,0,0.102,0.325,94.35
1,1,Empire State Of Mind,JAY-Z,The Blueprint 3,80,83,east coast hip hop,276920,2009-09-08,0.491,0.956,-1.538,0.392,0.0295,0,0.46,0.811,173.585
2,2,ARE WE STILL FRIENDS?,"Tyler, The Creator",IGOR,82,81,hip hop,265480,2019-05-17,0.216,0.497,-8.025,0.0371,0.128,2.39e-06,0.111,0.313,187.308
3,3,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",86,81,art pop,291796,2019-03-29,0.421,0.131,-18.435,0.0382,0.952,0.00453,0.109,0.12,137.446
4,4,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),81,80,classic rock,354320,1975-11-21,0.411,0.404,-9.928,0.0511,0.271,0,0.3,0.226,71.068
5,5,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,82,87,garage rock,161123,2013-09-09,0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004
6,6,Without Me,Eminem,The Eminem Show,87,88,detroit hip hop,290320,2002-05-26,0.908,0.669,-2.827,0.0738,0.00286,0,0.237,0.662,112.238
7,7,no tears left to cry,Ariana Grande,no tears left to cry,90,1,pop,205946,2018-04-20,0.703,0.696,-5.482,0.0529,0.0375,5.65e-06,0.274,0.366,121.969
8,8,The Hills,The Weeknd,Beauty Behind The Madness,91,86,canadian contemporary r&b,242253,2015-08-28,0.585,0.564,-7.063,0.0515,0.0671,0,0.135,0.137,113.003
9,9,History,One Direction,Made In The A.M. (Deluxe Edition),81,72,boy band,187426,2015-11-13,0.655,0.697,-4.421,0.0493,0.0359,0,0.0646,0.802,86.704
10,10,Grenade,Bruno Mars,Doo-Wops & Hooligans,85,81,dance pop,222091,2010-10-05,0.704,0.558,-7.273,0.0542,0.148,0,0.107,0.245,110.444
11,11,Stay With Me,Sam Smith,In The Lonely Hour (Deluxe Edition),80,0,pop,172723,2014-01-01,0.5,0.418,-6.535,0.0377,0.566,0.000193,0.11,0.176,84.899
12,12,Rise,Jonas Blue,Rise,70,62,pop,194407,2018-05-25,0.69,0.784,-4.653,0.032,0.323,0,0.203,0.669,106.066
13,13,Sweet but Psycho,Ava Max,Sweet but Psycho,77,1,pop,187436,2018-08-17,0.719,0.704,-4.724,0.0476,0.0691,0,0.166,0.628,133.002
14,14,Cheap Thrills (feat. Sean Paul),Sia,Cheap Thrills (feat. Sean Paul),81,67,australian dance,224813,2016-02-11,0.592,0.8,-4.931,0.215,0.0561,2.01e-06,0.0775,0.728,89.972
15,15,What About Us,P!nk,Beautiful Trauma,77,76,dance pop,269600,2017-10-13,0.491,0.588,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608
16,16,Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Deluxe),70,0,girl group,249813,2015-11-06,0.539,0.643,-3.982,0.0479,0.256,0,0.29,0.136,92.962
17,17,Halo,Beyoncé,I AM...SASHA FIERCE,87,74,pop,261640,2008-11-17,0.508,0.72,-5.908,0.0628,0.272,0,0.0563,0.472,79.983
18,18,Happier,Marshmello,Happier,80,19,brostep,214289,2018-08-17,0.687,0.792,-2.749,0.0452,0.191,0,0.167,0.671,100.011
19,19,Fast Car,Jonas Blue,Fast Car,70,0,pop,212424,2015-12-04,0.459,0.587,-6.983,0.0785,0.453,0,0.307,0.581,113.901
20,20,Take Me Home,Jess Glynne,I Cry When I Laugh,70,59,dance pop,265381,2015,0.558,0.451,-6.163,0.0388,0.292,0,0.101,0.238,150.008
21,21,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",79,79,dance pop,236001,2016-05-06,0.666,0.83,-5.715,0.0751,0.0123,0,0.191,0.702,113.03
22,22,Sorry Not Sorry,Demi Lovato,Sorry Not Sorry,74,0,pop,203760,2017-07-11,0.701,0.638,-6.889,0.238,0.0252,0,0.256,0.868,144.084
23,23,Heartbeat Song,Kelly Clarkson,Heartbeat Song,70,0,dance pop,198693,2015-01-12,0.5,0.791,-3.711,0.0505,0.012,0,0.0645,0.444,149.093
24,24,Rather Be (feat. Jess Glynne),Clean Bandit,Rather Be (feat. Jess Glynne),71,74,pop,227833,2014-01-17,0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97
25,25,Chandelier,Sia,Chandelier,81,46,australian dance,216120,2014-03-17,0.286,0.784,-2.873,0.0749,0.0163,6.48e-05,0.0713,0.618,173.793
26,26,Lean On (feat. MØ & DJ Snake),Major Lazer,Lean On (feat. MØ & DJ Snake),73,0,dance pop,176561,2015-03-02,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
27,27,Starships,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe),83,60,hip pop,210626,2012-01-01,0.747,0.716,-2.457,0.0751,0.135,0,0.251,0.751,125.006
28,28,We Found Love,Rihanna,We Found Love,87,0,barbadian pop,215760,2011-01-01,0.744,0.741,-4.981,0.0572,0.0271,0.00256,0.0928,0.562,128.023
29,29,Pompeii,Bastille,Bad Blood,72,77,metropopolis,214147,2013-01-01,0.679,0.715,-6.383,0.0407,0.0755,0,0.271,0.571,127.435
30,30,Firework,Katy Perry,Teenage Dream: The Complete Confection,81,70,pop,227880,2012-03-12,0.639,0.826,-4.968,0.0479,0.139,0,0.0803,0.648,124.075
31,31,Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",83,86,colombian pop,218093,2005-11-28,0.778,0.824,-5.892,0.0707,0.284,0,0.405,0.758,100.024
32,32,Run the World (Girls),Beyoncé,4,87,72,pop,236093,2011-06-24,0.732,0.899,-4.237,0.143,0.00496,4.64e-05,0.372,0.759,127.091
33,33,7 Years,Lukas Graham,Lukas Graham (Blue Album),67,52,danish pop,237300,2015-06-16,0.742,0.479,-5.83,0.0551,0.29,0,0.391,0.346,119.951
34,34,Where Is The Love?,Black Eyed Peas,Elephunk (International Version),76,0,dance pop,272533,2003-01-01,0.835,0.687,-3.18,0.184,0.101,0,0.132,0.828,94.059
35,35,Walks Like Rihanna,The Wanted,Word Of Mouth (Deluxe),60,55,boy band,202150,2013-01-01,0.559,0.82,-3.381,0.0591,0.00606,0,0.0958,0.428,126.091
36,36,Let Her Go,Passenger,All The Little Lights,67,15,folk-pop,252866,2012-11-05,0.509,0.538,-7.335,0.0572,0.385,0,0.104,0.244,75.089
37,37,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",69,71,pop dance,210772,2018-01-19,0.653,0.809,-4.057,0.0474,0.194,0,0.165,0.55,92.213
38,38,drivers license,Olivia Rodrigo,drivers license,86,24,pop,242013,2021-01-08,0.585,0.436,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874
39,39,My Way,Calvin Harris,My Way,83,80,dance pop,219159,2016-09-16,0.818,0.913,-3.06,0.0426,0.093,3.69e-05,0.161,0.536,119.986
40,40,2002,Anne-Marie,Speak Your Mind (Deluxe),74,0,pop,186986,2018-04-27,0.697,0.683,-2.881,0.117,0.0372,0,0.137,0.603,96.133
41,41,Timber,Pitbull,Global Warming: Meltdown (Deluxe Version),81,65,dance pop,204200,2012,0.589,0.966,-4.106,0.0972,0.03,0,0.147,0.802,129.983
42,42,Faded,Alan Walker,Faded,77,71,electro house,212626,2015-12-04,0.589,0.651,-5.097,0.0306,0.0291,3.2e-06,0.111,0.166,90.011
43,43,"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",Hailee Steinfeld,Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack),65,56,pop,178320,2015-05-12,0.517,0.623,-6.35,0.0715,0.327,0,0.127,0.278,148.045
44,44,Don't Stop Believin',Journey,Flash Back Internacional,71,47,album rock,249653,2018-04-27,0.49,0.723,-9.699,0.0408,0.242,0,0.371,0.485,119.022
45,45,Fight Song,Rachel Platten,Wildfire,58,76,post-teen pop,204013,2016-01-01,0.564,0.714,-4.987,0.129,0.0549,0,0.155,0.33,175.924
46,46,Giant (with Rag'n'Bone Man),Calvin Harris,Giant (with Rag'n'Bone Man),83,70,dance pop,229184,2019-01-11,0.807,0.887,-4.311,0.0361,0.016,0.000503,0.0811,0.606,122.015
47,47,Dance Monkey,Tones And I,Dance Monkey,67,0,australian pop,209754,2019-05-10,0.824,0.592,-6.4,0.0969,0.693,0.000158,0.178,0.54,98.074
48,48,I'll Be There,Jess Glynne,Always In Between (Deluxe),70,0,dance pop,194386,2018-10-12,0.627,0.858,-3.116,0.0394,0.0288,0,0.199,0.399,100.074
