,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,"Alone, Pt. II",Alan Walker,"Alone, Pt. II","{'danceability': 0.67, 'energy': 0.668, 'key': 3, 'loudness': -4.306, 'mode': 0, 'speechiness': 0.0422, 'acousticness': 0.536, 'instrumentalness': 0, 'liveness': 0.133, 'valence': 0.608, 'tempo': 88.033, 'type': 'audio_features', 'id': '0bMbDctzMmTyK2j74j3nF3', 'uri': 'spotify:track:0bMbDctzMmTyK2j74j3nF3', 'track_href': 'https://api.spotify.com/v1/tracks/0bMbDctzMmTyK2j74j3nF3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0bMbDctzMmTyK2j74j3nF3', 'duration_ms': 179053, 'time_signature': 4}",78,70,electro house,179052,2019-12-27
1,Shape of You,Ed Sheeran,÷ (Deluxe),"{'danceability': 0.825, 'energy': 0.652, 'key': 1, 'loudness': -3.183, 'mode': 0, 'speechiness': 0.0802, 'acousticness': 0.581, 'instrumentalness': 0, 'liveness': 0.0931, 'valence': 0.931, 'tempo': 95.977, 'type': 'audio_features', 'id': '7qiZfU4dY1lWllzX7mPBI3', 'uri': 'spotify:track:7qiZfU4dY1lWllzX7mPBI3', 'track_href': 'https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3', 'duration_ms': 233713, 'time_signature': 4}",84,86,pop,233712,2017-03-03
2,One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),"{'danceability': 0.791, 'energy': 0.862, 'key': 9, 'loudness': -3.24, 'mode': 0, 'speechiness': 0.11, 'acousticness': 0.037, 'instrumentalness': 2.19e-05, 'liveness': 0.0814, 'valence': 0.592, 'tempo': 123.994, 'type': 'audio_features', 'id': '7ef4DlsgrMEH11cDZd32M6', 'uri': 'spotify:track:7ef4DlsgrMEH11cDZd32M6', 'track_href': 'https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6', 'duration_ms': 214847, 'time_signature': 4}",84,86,dance pop,214846,2018-04-06
3,FRIENDS,Marshmello,FRIENDS,"{'danceability': 0.626, 'energy': 0.88, 'key': 9, 'loudness': -2.384, 'mode': 0, 'speechiness': 0.0504, 'acousticness': 0.205, 'instrumentalness': 0, 'liveness': 0.128, 'valence': 0.534, 'tempo': 95.079, 'type': 'audio_features', 'id': '08bNPGLD8AhKpnnERrAc6G', 'uri': 'spotify:track:08bNPGLD8AhKpnnERrAc6G', 'track_href': 'https://api.spotify.com/v1/tracks/08bNPGLD8AhKpnnERrAc6G', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/08bNPGLD8AhKpnnERrAc6G', 'duration_ms': 202621, 'time_signature': 4}",81,77,brostep,202620,2018-02-09
4,Havana (feat. Young Thug),Camila Cabello,Camila,"{'danceability': 0.765, 'energy': 0.523, 'key': 2, 'loudness': -4.333, 'mode': 1, 'speechiness': 0.03, 'acousticness': 0.184, 'instrumentalness': 3.56e-05, 'liveness': 0.132, 'valence': 0.394, 'tempo': 104.988, 'type': 'audio_features', 'id': '1rfofaqEpACxVEHIZBJe6W', 'uri': 'spotify:track:1rfofaqEpACxVEHIZBJe6W', 'track_href': 'https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W', 'duration_ms': 217307, 'time_signature': 4}",78,82,dance pop,217306,2018-01-12
5,CRY,KAZKA,KARMA,"{'danceability': 0.793, 'energy': 0.804, 'key': 0, 'loudness': -4.386, 'mode': 0, 'speechiness': 0.0361, 'acousticness': 0.176, 'instrumentalness': 0, 'liveness': 0.0403, 'valence': 0.603, 'tempo': 104.016, 'type': 'audio_features', 'id': '1BFLQYT9DCh6GPn4GojRWE', 'uri': 'spotify:track:1BFLQYT9DCh6GPn4GojRWE', 'track_href': 'https://api.spotify.com/v1/tracks/1BFLQYT9DCh6GPn4GojRWE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1BFLQYT9DCh6GPn4GojRWE', 'duration_ms': 224982, 'time_signature': 4}",42,50,russian pop,224982,2018-04-27
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"{'danceability': 0.72, 'energy': 0.763, 'key': 9, 'loudness': -4.068, 'mode': 0, 'speechiness': 0.0523, 'acousticness': 0.406, 'instrumentalness': 0, 'liveness': 0.18, 'valence': 0.742, 'tempo': 101.965, 'type': 'audio_features', 'id': '5knuzwU65gJK7IF5yJsuaW', 'uri': 'spotify:track:5knuzwU65gJK7IF5yJsuaW', 'track_href': 'https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW', 'duration_ms': 251088, 'time_signature': 4}",71,74,pop,251088,2016-10-21
7,Calma,Pedro Capó,Calma,"{'danceability': 0.737, 'energy': 0.634, 'key': 2, 'loudness': -5.331, 'mode': 1, 'speechiness': 0.0475, 'acousticness': 0.199, 'instrumentalness': 0, 'liveness': 0.0803, 'valence': 0.55, 'tempo': 126.926, 'type': 'audio_features', 'id': '6aLJnupvPpT9HLv3xaUhe1', 'uri': 'spotify:track:6aLJnupvPpT9HLv3xaUhe1', 'track_href': 'https://api.spotify.com/v1/tracks/6aLJnupvPpT9HLv3xaUhe1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6aLJnupvPpT9HLv3xaUhe1', 'duration_ms': 180066, 'time_signature': 4}",65,58,latin pop,180065,2018-07-20
8,Sugar & Brownies,DHARIA,Sugar & Brownies,"{'danceability': 0.792, 'energy': 0.719, 'key': 1, 'loudness': -5.123, 'mode': 0, 'speechiness': 0.257, 'acousticness': 0.168, 'instrumentalness': 0, 'liveness': 0.0276, 'valence': 0.472, 'tempo': 100.02, 'type': 'audio_features', 'id': '2xER1YqJFO3D5gblLTLyL8', 'uri': 'spotify:track:2xER1YqJFO3D5gblLTLyL8', 'track_href': 'https://api.spotify.com/v1/tracks/2xER1YqJFO3D5gblLTLyL8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2xER1YqJFO3D5gblLTLyL8', 'duration_ms': 197837, 'time_signature': 4}",47,0,,197836,2018-12-07
9,Cheap Thrills Remix (feat. Nicky Jam),Sia,Cheap Thrills Remix (feat. Nicky Jam),"{'danceability': 0.534, 'energy': 0.749, 'key': 6, 'loudness': -5.562, 'mode': 0, 'speechiness': 0.0749, 'acousticness': 0.0776, 'instrumentalness': 1.47e-06, 'liveness': 0.0906, 'valence': 0.671, 'tempo': 179.975, 'type': 'audio_features', 'id': '59iNA6gwthoTJ6IgpBGGHW', 'uri': 'spotify:track:59iNA6gwthoTJ6IgpBGGHW', 'track_href': 'https://api.spotify.com/v1/tracks/59iNA6gwthoTJ6IgpBGGHW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/59iNA6gwthoTJ6IgpBGGHW', 'duration_ms': 212160, 'time_signature': 4}",82,45,australian dance,212160,2016-06-17
