,Unnamed: 0,track,artist,album,artist pop,track pop,track genre,duration,release date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0,Desperado,Rihanna,ANTI (Deluxe),87,71,barbadian pop,186466,2016-01-28,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
1,1,Empire State Of Mind,JAY-Z,The Blueprint 3,80,83,east coast hip hop,276920,2009-09-08,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
2,2,ARE WE STILL FRIENDS?,"Tyler, The Creator",IGOR,82,81,hip hop,265480,2019-05-17,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
3,3,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",86,81,art pop,291796,2019-03-29,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
4,4,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),81,80,classic rock,354320,1975-11-21,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
5,5,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,82,87,garage rock,161123,2013-09-09,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
6,6,Without Me,Eminem,The Eminem Show,87,88,detroit hip hop,290320,2002-05-26,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
7,7,no tears left to cry,Ariana Grande,no tears left to cry,90,1,pop,205946,2018-04-20,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
8,8,The Hills,The Weeknd,Beauty Behind The Madness,91,86,canadian contemporary r&b,242253,2015-08-28,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
9,9,History,One Direction,Made In The A.M. (Deluxe Edition),81,72,boy band,187426,2015-11-13,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
10,10,Grenade,Bruno Mars,Doo-Wops & Hooligans,85,81,dance pop,222091,2010-10-05,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
11,11,Stay With Me,Sam Smith,In The Lonely Hour (Deluxe Edition),80,0,pop,172723,2014-01-01,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
12,12,Rise,Jonas Blue,Rise,70,62,pop,194407,2018-05-25,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
13,13,Sweet but Psycho,Ava Max,Sweet but Psycho,77,1,pop,187436,2018-08-17,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
14,14,Cheap Thrills (feat. Sean Paul),Sia,Cheap Thrills (feat. Sean Paul),81,67,australian dance,224813,2016-02-11,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
15,15,What About Us,P!nk,Beautiful Trauma,77,76,dance pop,269600,2017-10-13,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
16,16,Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Deluxe),70,0,girl group,249813,2015-11-06,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
17,17,Halo,Beyoncé,I AM...SASHA FIERCE,87,74,pop,261640,2008-11-17,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
18,18,Happier,Marshmello,Happier,80,19,brostep,214289,2018-08-17,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
19,19,Fast Car,Jonas Blue,Fast Car,70,0,pop,212424,2015-12-04,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
20,20,Take Me Home,Jess Glynne,I Cry When I Laugh,70,59,dance pop,265381,2015,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
21,21,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",79,79,dance pop,236001,2016-05-06,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
22,22,Sorry Not Sorry,Demi Lovato,Sorry Not Sorry,74,0,pop,203760,2017-07-11,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684
